area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,0,Other,2,Other,1255,2,1.0,80.0
Super built-up  Area,0,Other,3,Other,1904,3,3.0,155.0
Super built-up  Area,0,Other,2,Other,1329,2,2.0,70.0
Plot  Area,0,Chandapura,2,Other,1200,2,1.0,60.0
Super built-up  Area,0,Other,3,Other,2135,3,2.0,160.0
Super built-up  Area,0,Other,3,Other,2770,4,3.0,315.0
Built-up  Area,12,Other,1,Other,813,1,1.0,39.0
Plot  Area,0,Other,4,Other,3884,4,3.0,240.0
Plot  Area,0,Other,3,Other,3876,3,1.0,300.0
Super built-up  Area,0,Other,2,Other,800,2,2.0,30.0
Plot  Area,0,Other,4,Other,4750,2,1.0,120.0
Super built-up  Area,0,Hormavu,3,Other,1500,3,3.0,70.0
Super built-up  Area,0,Bannerghatta Road,3,SNity S,1880,3,2.0,95.0
Super built-up  Area,0,Electronic City,3,Other,1440,2,2.0,55.0
Super built-up  Area,0,Akshaya Nagar,3,Other,1575,3,2.0,90.0
Super built-up  Area,0,Other,3,Other,1630,2,2.0,97.78
Super built-up  Area,0,Yelahanka,3,Other,1180,3,1.0,55.0
Built-up  Area,0,Other,2,Other,1090,2,1.0,36.0
Super built-up  Area,0,Other,2,Other,1020,2,2.0,48.45
Built-up  Area,0,Other,4,Other,2425,4,3.0,173.0
Super built-up  Area,3,Varthur,2,Other,1097,2,1.0,33.82
Super built-up  Area,0,Raja Rajeshwari Nagar,2,Other,1070,2,1.0,50.0
Super built-up  Area,0,Other,2,Other,1000,2,1.0,58.0
Plot  Area,0,Hoodi,8,Other,1120,8,2.0,150.0
Super built-up  Area,4,Other,2,Other,1150,2,1.0,56.0
Built-up  Area,0,Other,3,Other,1900,4,2.0,145.0
Super built-up  Area,0,Other,2,Other,1141,2,2.0,49.0
Built-up  Area,0,Jigani,2,Other,937,2,1.0,44.0
Built-up  Area,0,Other,2,Other,1075,2,1.0,60.0
Super built-up  Area,2,Panathur,2,Other,1000,2,1.0,65.3
Super built-up  Area,0,Kasavanhalli,3,Other,1450,3,2.0,77.41
Plot  Area,0,Other,5,Other,897,2,1.0,85.0
Super built-up  Area,0,Other,2,Other,936,2,2.0,43.0
Built-up  Area,0,Other,2,Other,1280,2,1.0,75.0
Super built-up  Area,0,Other,2,Other,1050,2,3.0,45.0
Super built-up  Area,0,Marathahalli,2,Other,1350,2,1.0,86.0
Super built-up  Area,0,Other,2,Other,1325,2,1.0,70.0
Super built-up  Area,4,Other,2,Other,1174,2,1.0,59.0
Super built-up  Area,0,Other,3,Other,1890,3,2.0,162.0
Super built-up  Area,0,Other,1,Other,735,1,1.0,75.0
Built-up  Area,0,Other,1,Other,500,1,0.0,24.0
Super built-up  Area,0,Other,3,Other,1304,3,3.0,80.0
Built-up  Area,0,Yelahanka,3,Other,1653,3,2.0,120.0
Super built-up  Area,0,Bisuvanahalli,3,Prityel,1075,2,1.0,52.0
Super built-up  Area,0,7th Phase JP Nagar,2,Other,1212,3,1.0,42.0
Built-up  Area,0,Other,2,Other,1100,2,1.0,50.0
Super built-up  Area,0,Rajaji Nagar,4,PhestOn,3436,6,3.0,500.0
Plot  Area,0,Other,3,Other,1200,4,0.0,145.0
Super built-up  Area,0,Other,2,Other,1140,2,2.0,50.0
Plot  Area,0,Other,2,Other,1200,2,1.0,100.0
Super built-up  Area,0,Other,3,Other,1532,3,2.0,83.0
Plot  Area,0,Other,3,Other,2776,4,2.0,195.0
Super built-up  Area,0,Other,3,Other,1531,2,0.0,75.0
Super built-up  Area,0,Other,3,Other,1270,2,2.0,50.79
Super built-up  Area,12,Uttarahalli,2,Other,1325,2,1.0,53.0
Plot  Area,0,Other,3,Other,1200,3,1.0,160.0
Super built-up  Area,4,Electronic City,3,Other,1156,2,2.0,44.0
Plot  Area,0,Other,4,Other,2000,4,2.0,320.0
Super built-up  Area,0,Bannerghatta Road,2,SNity S,1260,2,2.0,70.0
Super built-up  Area,0,Other,2,Prlla C,1934,2,0.0,90.0
Super built-up  Area,0,Other,2,Other,1060,2,1.0,40.0
Super built-up  Area,0,Kasavanhalli,3,Other,1476,3,1.0,95.0
Super built-up  Area,0,Other,2,Other,1185,2,1.0,85.0
Super built-up  Area,0,Other,3,Other,1265,2,1.0,82.0
Built-up  Area,5,Other,4,Other,3200,5,1.0,150.0
Super built-up  Area,0,Other,2,Other,1196,2,2.0,56.81
Built-up  Area,0,Other,2,Other,1280,2,1.0,69.0
Plot  Area,0,Marathahalli,4,Other,800,4,2.0,86.0
Built-up  Area,0,Hulimavu,2,Other,1175,2,2.0,45.0
Built-up  Area,0,Other,3,Other,1850,3,3.0,98.0
Plot  Area,0,Other,4,Other,2400,4,2.0,525.0
Super built-up  Area,0,Whitefield,2,Other,1195,2,1.0,70.0
Super built-up  Area,0,Other,3,Other,2000,3,3.0,185.0
Carpet  Area,0,Other,7,Other,600,4,0.0,100.0
Plot  Area,2,Other,4,Other,800,5,3.0,155.0
Super built-up  Area,0,Other,2,Other,1180,2,2.0,36.5
Super built-up  Area,0,Jakkur,2,Other,1050,2,1.0,49.87
Built-up  Area,12,Electronic City,3,Other,1400,2,1.0,40.44
Plot  Area,12,Other,4,Other,2360,4,2.0,150.0
Super built-up  Area,0,Other,2,Other,1030,2,1.0,77.25
Super built-up  Area,0,Other,2,Other,1512,1,2.0,65.01
Built-up  Area,0,Other,2,Other,929,2,1.0,48.0
Super built-up  Area,0,Jigani,3,Other,1252,3,3.0,61.0
Built-up  Area,0,Other,3,Other,1485,3,2.0,115.0
Super built-up  Area,0,Electronics City Phase 1,3,Other,1124,2,2.0,55.0
Plot  Area,0,TC Palaya,6,Other,2400,6,3.0,370.0
Built-up  Area,0,Other,3,Other,1407,3,1.0,120.0
Super built-up  Area,3,Hennur Road,3,Puachal,1482,2,3.0,97.0
Super built-up  Area,0,Other,2,Other,1163,2,1.0,98.86
Super built-up  Area,0,Jalahalli,3,Other,1570,3,2.0,140.0
Super built-up  Area,2,Whitefield,3,Other,3480,4,2.0,284.0
Super built-up  Area,9,Chandapura,1,Other,520,1,1.0,14.04
Super built-up  Area,0,Other,3,Other,2000,3,2.0,160.0
Super built-up  Area,0,Other,2,Other,1352,2,2.0,75.0
Super built-up  Area,4,Electronic City,2,Prarkun,1152,2,1.0,65.0
Built-up  Area,12,Other,3,Other,1575,3,2.0,93.0
Super built-up  Area,0,Other,3,Other,1965,4,2.0,125.0
Built-up  Area,0,Other,3,Other,1300,2,2.0,70.0
Super built-up  Area,4,Marathahalli,2,Other,957,2,1.0,47.0
Super built-up  Area,0,Other,3,Other,1740,3,3.0,60.0
Plot  Area,0,Kanakpura Road,5,Other,1080,6,3.0,65.0
Super built-up  Area,0,Other,2,Other,1060,2,0.0,35.0
Carpet  Area,0,Other,2,Other,975,2,2.0,50.0
Super built-up  Area,5,Ramamurthy Nagar,2,Other,1150,2,2.0,51.0
Super built-up  Area,0,Whitefield,3,Other,1738,2,3.0,79.0
Super built-up  Area,5,Other,3,Other,1250,3,2.0,55.0
Built-up  Area,0,Bannerghatta Road,3,Other,1788,3,2.0,90.0
Super built-up  Area,12,Other,2,Other,1151,2,1.0,59.0
Super built-up  Area,0,Uttarahalli,3,Other,1300,2,2.0,60.0
Super built-up  Area,0,Other,2,Other,1150,2,1.0,52.8
Super built-up  Area,0,Other,2,Other,1380,2,1.0,75.0
Super built-up  Area,6,Hebbal,3,Raard B,1645,3,2.0,117.0
Super built-up  Area,0,Other,2,Other,1141,2,1.0,45.9
Super built-up  Area,0,7th Phase JP Nagar,2,Other,1175,2,2.0,82.5
Super built-up  Area,0,Other,3,Other,1355,2,1.0,61.0
Built-up  Area,0,Other,2,Other,1150,2,0.0,70.0
Built-up  Area,0,Other,2,Other,1000,2,2.0,45.0
Super built-up  Area,1,Other,2,Soresea,1007,2,1.0,65.0
Super built-up  Area,0,Other,4,Other,3000,5,2.0,100.0
Super built-up  Area,0,Kothanur,3,Other,1436,3,3.0,70.0
Super built-up  Area,0,Marathahalli,4,Other,4000,4,3.0,220.0
Built-up  Area,0,Other,3,Other,2372,3,2.0,140.0
Plot  Area,0,Other,6,Other,1500,6,2.0,240.0
Plot  Area,0,Rajaji Nagar,2,Other,1200,2,0.0,150.0
Super built-up  Area,3,Other,2,Other,1016,2,1.0,58.0
Super built-up  Area,0,Other,2,Other,1100,2,2.0,48.0
Super built-up  Area,0,Other,2,Other,1080,2,1.0,45.0
Super built-up  Area,0,Electronic City,2,GMown E,1070,2,1.0,60.0
Super built-up  Area,0,Other,3,Other,1532,3,1.0,115.0
Super built-up  Area,0,Hennur,2,Other,1040,2,2.0,42.12
Plot  Area,0,Other,3,Other,3100,3,3.0,250.0
Super built-up  Area,6,Other,2,Other,1138,2,0.0,48.905
Super built-up  Area,0,Thanisandra,3,MenueNo,1430,2,2.0,51.6
Plot  Area,0,Rajaji Nagar,2,Other,1160,1,0.0,163.0
Super built-up  Area,0,Other,4,Other,3262,5,2.0,205.0
Plot  Area,0,Other,7,Other,2100,7,0.0,410.0
Built-up  Area,0,Other,2,Other,1190,2,2.0,100.0
Super built-up  Area,0,Other,3,Other,1827,3,3.0,100.0
Super built-up  Area,0,Other,2,Other,1210,2,1.0,75.0
Super built-up  Area,0,Other,3,Other,1500,3,3.0,95.0
Super built-up  Area,0,Rachenahalli,2,Other,1050,2,2.0,53.5
Super built-up  Area,3,Hebbal,2,Other,1251,2,1.0,88.73
Super built-up  Area,0,HSR Layout,3,Other,1600,2,2.0,115.0
Super built-up  Area,4,Electronic City,2,Prarkun,1128,2,1.0,65.5
Super built-up  Area,0,Budigere,3,PrityTr,1820,3,2.0,93.0
Super built-up  Area,0,Thigalarapalya,3,Prtanha,2072,4,2.0,159.0
Super built-up  Area,0,Raja Rajeshwari Nagar,3,Other,1510,2,3.0,59.0
Super built-up  Area,0,Hoodi,3,Other,1925,2,3.0,114.0
Plot  Area,0,Hennur Road,3,Other,2651,2,2.0,225.0
Super built-up  Area,0,Thigalarapalya,3,Prtanha,2072,4,2.0,147.0
Super built-up  Area,0,Other,2,Other,1000,2,2.0,36.0
Plot  Area,0,KR Puram,3,Other,1752,3,2.0,145.0
Super built-up  Area,0,Other,2,Other,960,2,3.0,56.0
Super built-up  Area,0,Other,2,Other,1180,2,2.0,63.0
Built-up  Area,0,Other,3,Other,2270,3,1.0,180.0
Built-up  Area,0,Other,2,Other,650,2,0.0,59.0
Super built-up  Area,0,Other,2,Other,1200,2,1.0,75.0
Super built-up  Area,0,Bisuvanahalli,3,Prityel,1180,2,1.0,46.0
Super built-up  Area,1,Other,3,Other,1300,3,2.0,47.0
Built-up  Area,0,Bannerghatta Road,2,Other,1157,2,0.0,40.0
Super built-up  Area,1,Kanakpura Road,3,PrarePa,1300,3,2.0,69.0
Super built-up  Area,0,Other,3,Other,1305,2,1.0,59.0
Super built-up  Area,0,Other,3,Other,2006,4,2.0,196.0
Super built-up  Area,0,Jakkur,2,Other,1290,2,1.0,80.0
Super built-up  Area,0,Other,2,Other,1170,2,3.0,45.0
Plot  Area,0,Other,4,Other,971,2,2.0,135.0
Super built-up  Area,0,Other,2,Other,1400,2,3.0,78.0
Super built-up  Area,0,Other,2,RothaVa,1200,2,2.0,75.0
Built-up  Area,0,Other,3,Other,1155,2,0.0,60.0
Built-up  Area,0,Hormavu,3,Other,1725,3,2.0,85.0
Super built-up  Area,10,Kanakpura Road,2,PrarePa,700,2,1.0,40.0
Super built-up  Area,6,Hoodi,2,GoAirej,1112,2,1.0,88.0
Super built-up  Area,0,Other,2,Other,1178,2,2.0,78.0
Super built-up  Area,1,Other,2,Other,1274,2,1.0,81.0
Super built-up  Area,0,Other,2,Other,915,2,1.0,32.0
Plot  Area,0,Other,8,Other,1650,6,2.0,135.0
Super built-up  Area,0,Other,1,Other,760,1,2.0,21.28
Built-up  Area,0,Other,3,Other,1540,3,2.0,68.0
Super built-up  Area,0,Other,2,Other,1206,2,3.0,38.5
Super built-up  Area,0,Other,3,Other,1645,3,2.0,95.0
Plot  Area,0,Other,4,Other,1200,4,2.0,170.0
Plot  Area,0,Other,4,Other,1200,4,1.0,140.0
Super built-up  Area,0,Other,4,Other,2342,3,2.0,115.0
Super built-up  Area,0,Other,3,Other,1200,2,1.0,55.0
Super built-up  Area,0,Other,2,Other,1056,2,2.0,33.0
Plot  Area,0,Raja Rajeshwari Nagar,8,Other,4800,8,2.0,225.0
Super built-up  Area,0,Kanakpura Road,3,Other,1450,3,3.0,54.3
Super built-up  Area,4,Other,2,Other,1161,2,2.0,36.69
Super built-up  Area,0,Other,2,Other,1097,2,3.0,65.0
Built-up  Area,0,Uttarahalli,2,Other,850,2,2.0,35.0
Super built-up  Area,0,Other,3,Other,1715,3,2.0,115.0
Super built-up  Area,0,Other,3,Other,2300,3,2.0,317.0
Super built-up  Area,0,Electronic City,2,GMown E,1200,2,1.0,59.0
Super built-up  Area,10,8th Phase JP Nagar,2,Other,1080,2,2.0,38.0
Super built-up  Area,0,Kasavanhalli,2,Other,1200,2,1.0,50.3
Plot  Area,0,Other,4,Other,2400,4,0.0,550.0
Super built-up  Area,0,Banashankari,3,Other,1400,2,1.0,78.0
Plot  Area,0,Whitefield,4,Other,1500,4,3.0,200.0
Carpet  Area,12,Kanakpura Road,1,Other,458,1,0.0,19.695
Super built-up  Area,0,Marathahalli,2,Other,1230,2,1.0,57.0
Built-up  Area,0,Other,3,Other,1640,3,3.0,88.0
Super built-up  Area,0,Banashankari,3,Other,1700,3,2.0,125.0
Super built-up  Area,0,Other,3,Other,1478,2,2.0,44.0
Super built-up  Area,0,Banashankari,2,Other,1020,2,2.0,40.79
Plot  Area,0,Nagarbhavi,2,Other,1200,2,1.0,150.0
Built-up  Area,0,Yelahanka,3,Other,1275,2,2.0,95.0
Built-up  Area,0,Other,4,Other,1600,3,1.0,165.0
Super built-up  Area,0,Other,2,Other,1110,2,2.0,38.85
Super built-up  Area,0,Uttarahalli,3,Other,1628,3,2.0,88.0
Built-up  Area,0,Other,2,Other,620,2,1.0,22.0
Plot  Area,0,Whitefield,4,Other,3004,4,2.0,285.0
Super built-up  Area,5,Hosa Road,2,Other,1133,2,1.0,52.0
Super built-up  Area,0,Hennur Road,2,Other,1182,2,2.0,82.5
Super built-up  Area,0,Other,3,Other,1500,3,3.0,100.0
Super built-up  Area,0,Other,4,Other,3900,5,2.0,360.0
Super built-up  Area,0,Marathahalli,2,Other,1200,2,2.0,58.0
Super built-up  Area,0,Raja Rajeshwari Nagar,2,GrrvaGr,1128,2,1.0,48.79
Super built-up  Area,0,Malleshwaram,3,Other,2345,2,2.0,293.0
Built-up  Area,0,Other,2,Other,900,2,2.0,110.0
Built-up  Area,0,Other,2,Other,1100,2,1.0,45.0
Super built-up  Area,0,Other,2,Other,635,1,1.0,22.0
Super built-up  Area,0,Other,4,Other,2062,3,2.0,140.0
Built-up  Area,0,Thanisandra,3,Other,1874,4,1.0,130.0
Plot  Area,4,Other,4,Other,600,3,2.0,78.0
Super built-up  Area,6,Old Madras Road,2,Other,1171,2,2.0,75.0
Super built-up  Area,0,Sarjapur,3,Other,2020,3,3.0,85.0
Super built-up  Area,1,8th Phase JP Nagar,2,Other,1059,2,2.0,34.5
Super built-up  Area,0,Panathur,3,Other,1315,2,1.0,59.1
Super built-up  Area,0,Jakkur,3,Other,1760,3,2.0,110.0
Built-up  Area,0,Other,2,Other,1200,2,1.0,125.0
Super built-up  Area,0,Hennur Road,3,Other,1192,2,1.0,62.0
Super built-up  Area,6,Hebbal,3,Raard B,1645,3,2.0,121.0
Super built-up  Area,0,Whitefield,2,Other,1250,2,2.0,72.0
Super built-up  Area,12,Whitefield,1,Other,709,1,0.0,34.385
Super built-up  Area,0,Whitefield,2,Other,1340,2,1.0,77.0
Built-up  Area,0,Other,3,Other,2388,4,3.0,239.0
Super built-up  Area,6,Hosa Road,2,Other,1369,2,1.0,104.0
Super built-up  Area,0,Other,2,Other,1355,2,3.0,75.0
Built-up  Area,0,Bannerghatta Road,2,Other,1150,2,2.0,65.0
Super built-up  Area,12,Other,3,Other,1938,3,3.0,113.0
Super built-up  Area,6,Begur Road,4,Other,2462,4,3.0,124.0
Super built-up  Area,0,Budigere,3,PrityTr,1636,3,2.0,85.0
Super built-up  Area,0,Akshaya Nagar,3,Other,1430,2,2.0,75.0
Super built-up  Area,0,Other,3,Other,2000,3,2.0,85.0
Carpet  Area,5,Electronic City Phase II,3,Other,993,2,2.0,50.0
Plot  Area,0,Other,4,Other,1260,4,1.0,150.0
Super built-up  Area,0,Kanakpura Road,3,Other,1700,3,3.0,88.0
Super built-up  Area,0,Yelahanka,2,Other,1270,2,2.0,78.0
Plot  Area,4,Other,3,Other,1500,3,1.0,121.0
Built-up  Area,0,Koramangala,3,Other,2300,3,3.0,290.0
Super built-up  Area,0,Marathahalli,3,Other,1650,3,3.0,86.45
Super built-up  Area,0,Panathur,2,Other,1109,2,1.0,63.0
Super built-up  Area,0,Other,2,Other,1280,2,1.0,49.75
Built-up  Area,0,Sarjapur,4,Other,2885,3,1.0,185.0
Plot  Area,0,Banashankari,9,Other,1200,9,1.0,145.0
Plot  Area,0,Other,3,Other,1600,3,2.0,180.0
Super built-up  Area,0,Kothanur,3,Other,1462,3,3.0,71.0
Super built-up  Area,3,Marathahalli,1,Other,607,1,1.0,35.0
Super built-up  Area,0,Other,2,Other,930,2,0.0,25.0
Plot  Area,11,Varthur,4,Other,4500,5,2.0,300.0
Plot  Area,0,Other,5,Other,1200,5,2.0,160.0
Super built-up  Area,0,Malleshwaram,3,Other,2600,3,1.0,237.0
Super built-up  Area,0,JP Nagar,4,Other,3000,4,2.0,140.0
Super built-up  Area,5,Electronic City Phase II,3,Other,1418,3,2.0,52.47
Built-up  Area,0,Other,2,Other,4200,1,2.0,160.0
Built-up  Area,0,Other,2,Other,1125,2,1.0,65.0
Super built-up  Area,0,Other,3,Other,1825,3,2.0,126.0
Super built-up  Area,0,Whitefield,2,Other,1320,2,3.0,79.5
Built-up  Area,0,JP Nagar,4,Other,3000,4,2.0,140.0
Super built-up  Area,0,Other,3,Other,1490,2,2.0,300.0
Plot  Area,0,Other,4,Other,1650,3,1.0,300.0
Super built-up  Area,12,Whitefield,2,Other,750,2,1.0,52.7
Super built-up  Area,12,Yelahanka,3,Other,1400,2,2.0,80.54
Super built-up  Area,0,Other,4,Other,4104,4,3.0,360.0
Built-up  Area,0,Rajaji Nagar,4,Other,5000,4,0.0,375.0
Plot  Area,0,Other,5,Other,3295,4,2.0,260.0
Plot  Area,0,Other,4,Other,1150,3,1.0,110.0
Plot  Area,7,Whitefield,3,Other,1200,3,1.0,61.96
Built-up  Area,0,Other,2,Other,965,2,2.0,48.0
Plot  Area,0,Other,1,Other,812,1,1.0,26.0
Super built-up  Area,0,KR Puram,2,Other,1100,2,2.0,43.0
Super built-up  Area,0,Whitefield,2,Other,1180,2,2.0,41.0
Super built-up  Area,0,HSR Layout,2,Other,1145,2,2.0,48.0
Super built-up  Area,0,Haralur Road,2,Other,1027,2,1.0,44.0
Super built-up  Area,4,Other,2,Other,1215,2,2.0,49.85
Plot  Area,0,Other,2,Other,1200,2,0.0,75.0
Super built-up  Area,0,Other,2,Other,1015,2,2.0,58.0
Plot  Area,5,Other,3,Other,2400,3,1.0,165.0
Plot  Area,0,Whitefield,4,Other,3000,4,3.0,306.0
Built-up  Area,0,7th Phase JP Nagar,3,Other,3300,4,3.0,160.0
Super built-up  Area,0,Other,2,Other,1076,2,2.0,52.0
Super built-up  Area,12,JP Nagar,2,Other,1300,2,1.0,109.0
Built-up  Area,0,Other,2,Other,1300,2,2.0,102.0
Super built-up  Area,6,Hosa Road,3,Other,1512,3,1.0,123.0
Carpet  Area,12,Other,3,Rosha I,1053,3,1.0,88.91
Super built-up  Area,0,Yeshwanthpur,1,Other,605,1,0.0,41.745
Super built-up  Area,0,Hormavu,2,Other,1153,2,1.0,65.0
Plot  Area,0,Other,2,Other,2080,2,1.0,150.0
Super built-up  Area,0,Hulimavu,2,Other,1255,2,2.0,69.0
Super built-up  Area,0,Marathahalli,3,Other,1583,3,3.0,109.0
Super built-up  Area,0,Other,2,Other,1505,2,2.0,90.0
Super built-up  Area,0,Other,3,Other,1365,2,2.0,75.08
Plot  Area,0,Other,3,Other,1200,3,3.0,95.75
Super built-up  Area,0,Other,3,Other,1810,4,3.0,148.0
Built-up  Area,0,Other,1,Other,440,1,0.0,35.0
Super built-up  Area,0,Other,2,Other,975,2,1.0,63.0
Super built-up  Area,0,Other,2,Other,1250,2,3.0,39.0
Super built-up  Area,0,Other,3,Other,1530,2,1.0,97.0
Super built-up  Area,0,Other,3,Other,1300,2,2.0,39.0
Super built-up  Area,0,Other,2,Other,1115,2,1.0,40.0
Super built-up  Area,0,Sarjapur  Road,2,Other,1308,2,1.0,83.0
Super built-up  Area,0,Other,2,Other,1194,2,2.0,47.0
Super built-up  Area,0,Uttarahalli,3,Other,1490,2,2.0,59.6
Super built-up  Area,4,Sarjapur  Road,3,Other,1592,3,1.0,91.0
Super built-up  Area,6,Rajaji Nagar,2,Other,1222,2,0.0,112.0
Super built-up  Area,0,Raja Rajeshwari Nagar,2,GrrvaGr,1267,2,2.0,42.85
Super built-up  Area,0,Other,1,Soresea,656,1,1.0,53.0
Plot  Area,0,Other,4,Other,3400,4,3.0,530.0
Built-up  Area,0,Other,4,Other,4500,5,2.0,400.0
Plot  Area,11,Chandapura,2,Other,1200,1,1.0,36.0
Super built-up  Area,0,Thanisandra,3,Soitya ,1698,3,2.0,102.0
Built-up  Area,0,Other,3,Other,1500,3,2.0,70.0
Plot  Area,0,Other,4,Other,2000,5,0.0,80.0
Super built-up  Area,3,Electronic City,2,Prarkun,1152,2,1.0,65.75
Super built-up  Area,0,Raja Rajeshwari Nagar,1,Other,550,1,0.0,21.0
Super built-up  Area,0,Other,2,Other,900,2,2.0,42.0
Super built-up  Area,3,Other,3,Other,1410,2,2.0,45.12
Built-up  Area,0,Akshaya Nagar,3,Other,1419,2,3.0,73.0
Super built-up  Area,0,Other,2,Other,1200,2,1.0,55.0
Super built-up  Area,0,Other,3,Other,1800,3,3.0,65.0
Super built-up  Area,0,Other,2,Other,990,2,1.0,40.0
Super built-up  Area,0,Sarjapur  Road,2,Other,1016,2,1.0,45.0
Super built-up  Area,0,Bannerghatta Road,2,Other,1100,2,0.0,39.0
Built-up  Area,0,Ramamurthy Nagar,4,Other,850,2,1.0,65.0
Super built-up  Area,0,Whitefield,2,Other,1095,2,1.0,35.0
Super built-up  Area,0,Other,3,Other,2000,3,2.0,85.0
Super built-up  Area,0,Budigere,2,PrityTr,1444,2,2.0,70.0
Super built-up  Area,0,Whitefield,2,Other,1415,2,3.0,67.0
Plot  Area,0,Other,3,Other,1500,2,1.0,130.0
Super built-up  Area,0,Other,3,Other,1600,3,3.0,72.0
Super built-up  Area,0,Whitefield,2,Other,1105,2,1.0,41.36
Super built-up  Area,12,Electronic City,3,Other,1225,3,0.0,45.03
Super built-up  Area,0,Other,3,Other,2560,3,2.0,265.0
Super built-up  Area,0,Kanakpura Road,2,Other,1080,2,1.0,37.8
Plot  Area,0,Other,7,Other,2400,3,3.0,150.0
Super built-up  Area,8,Other,3,Other,1856,3,2.0,135.0
Super built-up  Area,0,Haralur Road,3,Other,1464,3,2.0,56.0
Plot  Area,0,Other,6,Other,2100,6,2.0,71.0
Super built-up  Area,0,Sarjapur  Road,2,Other,1150,2,2.0,77.0
Plot  Area,0,Other,5,Other,1200,4,1.0,98.0
Super built-up  Area,12,Whitefield,3,Prtates,2094,2,2.0,113.19
Super built-up  Area,0,Other,3,Other,1485,2,2.0,67.0
Super built-up  Area,0,Other,3,Other,2500,3,3.0,75.0
Plot  Area,8,Whitefield,2,Other,1200,2,1.0,45.0
Super built-up  Area,5,Hennur Road,2,Other,1036,2,1.0,59.46
Plot  Area,0,Whitefield,4,Other,3445,5,3.0,270.0
Super built-up  Area,0,Other,2,Other,1400,2,2.0,80.0
Super built-up  Area,7,Other,2,Other,1110,2,2.0,33.0
Built-up  Area,0,Other,2,Other,1150,2,3.0,48.0
Super built-up  Area,0,Other,1,Other,715,1,1.0,45.0
Plot  Area,0,Other,4,Other,1200,4,0.0,130.0
Plot  Area,0,Rajaji Nagar,5,Other,1200,3,1.0,260.0
Super built-up  Area,0,Jakkur,4,Other,2283,4,2.0,130.0
Plot  Area,0,Other,6,Other,1790,5,1.0,250.0
Super built-up  Area,4,Hormavu,3,Other,1453,2,2.0,43.58
Built-up  Area,0,Nagarbhavi,3,Other,1400,2,1.0,85.0
Super built-up  Area,0,Other,3,Other,1400,3,0.0,65.0
Super built-up  Area,0,Whitefield,3,Other,1700,3,1.0,140.0
Super built-up  Area,12,Kanakpura Road,3,Other,1591,3,1.0,120.0
Super built-up  Area,0,Nagarbhavi,3,Other,1515,2,1.0,79.0
Built-up  Area,0,Marathahalli,5,Other,2500,3,3.0,200.0
Super built-up  Area,8,Chandapura,2,SunceEs,975,2,1.0,24.86
Super built-up  Area,0,Yeshwanthpur,3,IBityin,1382,2,2.0,76.18
Plot  Area,0,Other,7,Other,1750,5,2.0,350.0
Super built-up  Area,0,Other,3,Other,1533,3,2.0,150.0
Super built-up  Area,2,Other,3,Other,3815,3,1.0,763.0
Super built-up  Area,0,Other,2,Other,1100,2,2.0,38.0
Super built-up  Area,0,Other,4,Other,3730,6,2.0,450.0
Super built-up  Area,0,Other,3,Other,1500,2,1.0,120.0
Super built-up  Area,0,Yelahanka,3,Other,1391,2,2.0,64.5
Super built-up  Area,0,Begur Road,2,Dhalsh ,1160,2,2.0,42.92
Built-up  Area,0,Chandapura,1,Other,620,1,1.0,27.0
Plot  Area,0,Other,8,Other,2400,9,3.0,350.0
Plot  Area,0,Other,8,Other,1200,7,3.0,130.0
Built-up  Area,6,Whitefield,4,Other,4827,4,3.0,400.0
Super built-up  Area,0,Kanakpura Road,3,JRrnauv,1482,3,3.0,60.98
Super built-up  Area,0,Whitefield,2,Other,1405,2,2.0,84.5
Built-up  Area,0,Other,2,Other,1190,2,2.0,40.0
Super built-up  Area,0,Harlur,2,Prncyrn,1174,2,1.0,78.0
Plot  Area,0,Other,2,Other,1155,2,0.0,72.0
Super built-up  Area,3,Thanisandra,3,Bhe 2ko,1411,3,1.0,93.04
Super built-up  Area,0,Other,2,Other,745,2,0.0,50.0
Super built-up  Area,0,Other,2,Other,1000,2,2.0,30.0
Super built-up  Area,0,Jigani,2,Other,923,2,1.0,50.0
Built-up  Area,0,Yeshwanthpur,2,IBityin,1000,2,2.0,32.0
Super built-up  Area,0,Other,2,Other,1276,2,2.0,45.0
Built-up  Area,0,Other,3,Other,1460,3,2.0,70.0
Super built-up  Area,7,Other,2,Other,1355,2,1.0,95.0
Super built-up  Area,0,Other,1,Other,833,1,1.0,49.0
Built-up  Area,0,Other,8,Other,1200,8,2.0,275.0
Plot  Area,0,Other,5,Other,1750,5,1.0,450.0
Super built-up  Area,12,Ramamurthy Nagar,2,Other,1200,2,1.0,48.0
Super built-up  Area,0,Yeshwanthpur,1,IBityin,669,1,1.0,36.85
Plot  Area,0,7th Phase JP Nagar,3,Other,2200,4,2.0,105.0
Super built-up  Area,5,Koramangala,3,Other,1594,3,2.0,125.0
Super built-up  Area,0,Kothanur,3,Other,1790,3,2.0,105.0
Super built-up  Area,0,Other,2,Other,1020,2,1.0,45.0
Plot  Area,0,Other,4,Other,3250,5,1.0,850.0
Super built-up  Area,0,Other,2,Other,1037,2,1.0,36.28
Super built-up  Area,0,Whitefield,3,Other,1345,2,2.0,57.0
Super built-up  Area,0,Other,2,Other,1070,2,3.0,43.0
Super built-up  Area,0,Other,4,Other,3000,5,2.0,270.0
Super built-up  Area,0,Yeshwanthpur,3,IBityin,1385,2,2.0,76.18
